region,timepoint,strata_level,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
pooled,pooled,pooled,activated_immune,activated_myeloid_cd44,0.9821268158241327,1.9753753547649044,0.5374715211732816,1.4267821104749838,"[1.4267821104749838, 0.5374715211732816]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,endothelial,-0.047276511649618824,0.9677615247786002,-0.1793025608186264,0.08474953751938874,"[-0.1793025608186264, 0.08474953751938874]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,fibroblast,0.502963049770579,1.4171211008124025,0.2794306823979691,0.7264954171431889,"[0.7264954171431889, 0.2794306823979691]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,immune_cells,0.4448238682451868,1.361147930298118,0.2618343217536414,0.6278134147367322,"[0.2618343217536414, 0.6278134147367322]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,m2_macrophage,1.0023506506512654,2.0032613499564746,0.7602209464665093,1.2444803548360215,"[1.2444803548360215, 0.7602209464665093]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,myeloid,0.5173783398934059,1.4313518360003752,0.21063912792650838,0.8241175518603033,"[0.21063912792650838, 0.8241175518603033]",37,14,2,2,0,False,False
pooled,pooled,pooled,activated_immune,neutrophil,-0.3063160500284295,0.8087041667913042,-0.3366784093199444,-0.27595369073691456,"[-0.3366784093199444, -0.27595369073691456]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_endothelial_cd140b,0.653016786223018,1.5724528801716342,0.3914559754769623,0.9145775969690736,"[0.9145775969690736, 0.3914559754769623]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_endothelial_cd44,0.7697536626393228,1.7049786369077988,0.39984248683616636,1.1396648384424792,"[1.1396648384424792, 0.39984248683616636]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_fibroblast_cd140b,0.5609908011962825,1.4752820504702913,0.27441263952421147,0.8475689628683537,"[0.27441263952421147, 0.8475689628683537]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_fibroblast_cd44,1.7257310259893273,3.3074767750227654,1.4147486945213934,2.0367133574572613,"[2.0367133574572613, 1.4147486945213934]",60,17,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_immune,,,,,[],26,12,2,0,0,False,True
pooled,pooled,pooled,activated_m2_cd140b,activated_m2_cd140b,1.5257371308831842,2.879337953736727,0.8196732576889068,2.231801004077462,"[0.8196732576889068, 2.231801004077462]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_m2_cd44,0.2307755945182749,1.1734656361673905,-0.05542868114544919,0.516979870181999,"[-0.05542868114544919, 0.516979870181999]",68,21,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_myeloid_cd140b,2.4162464705000404,5.33780451311602,2.15664308399353,2.6758498570065505,"[2.6758498570065505, 2.15664308399353]",59,16,2,2,0,False,False
pooled,pooled,pooled,activated_m2_cd140b,activated_myeloid_cd44,0.5887125901881787,1.503904117824675,0.503651182397986,0.6737739979783713,"[0.6737739979783713, 0.503651182397986]",68,21,2,2,0,False,False
