focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
immune_cells,activated_endothelial_cd140b,D7,0.09696969696969697,0.09739782517853152,1.038115676602734,-0.013609377112496459,0.16666666666666666,165.0,6.0,0.0
immune_cells,activated_endothelial_cd140b,Sham,0.08668941979522185,0.09272380293994627,0.9941855867716674,-0.07239093061357656,0.3333333333333333,293.0,6.0,0.16666666666666666
immune_cells,activated_endothelial_cd44,D1,0.12923976608187135,0.17532385099045159,0.7242823331346967,-0.4799045050939616,0.8333333333333334,342.0,6.0,0.5
immune_cells,activated_endothelial_cd44,D3,0.08292682926829267,0.12867301722406607,0.6094947176258468,-0.8336835729610594,0.6666666666666666,246.0,6.0,0.5
immune_cells,activated_endothelial_cd44,D7,0.0593939393939394,0.10554347445067187,0.612650299460426,-1.0073927554353939,0.3333333333333333,165.0,6.0,0.16666666666666666
immune_cells,activated_endothelial_cd44,Sham,0.1273037542662116,0.17823777680190095,0.7271984294384861,-0.47953468225486373,0.5,293.0,6.0,0.3333333333333333
immune_cells,activated_fibroblast_cd140b,D1,0.06169590643274853,0.053034813040289626,1.1581507626624445,0.19837264358259477,0.0,342.0,6.0,0.0
immune_cells,activated_fibroblast_cd140b,D3,0.06219512195121951,0.04608859631590667,1.3150318903358715,0.37784001945399975,0.16666666666666666,246.0,6.0,0.0
immune_cells,activated_fibroblast_cd140b,D7,0.024242424242424242,0.0362207800730772,0.7126898773283519,-0.7605311543660399,0.16666666666666666,165.0,6.0,0.0
immune_cells,activated_fibroblast_cd140b,Sham,0.06723549488054607,0.05925776336827632,1.1232730961698445,0.13387174141127023,0.16666666666666666,293.0,6.0,0.0
immune_cells,activated_fibroblast_cd44,D1,0.0608187134502924,0.06439468907688742,0.9644785453089016,-0.11599534557145089,0.16666666666666666,342.0,6.0,0.16666666666666666
immune_cells,activated_fibroblast_cd44,D3,0.054471544715447164,0.0773995682952066,0.6895207879855138,-0.6304984364248353,0.16666666666666666,246.0,6.0,0.0
immune_cells,activated_fibroblast_cd44,D7,0.03939393939393939,0.08992508322249151,0.6241022925821291,-1.9922177431416592,0.16666666666666666,165.0,6.0,0.16666666666666666
immune_cells,activated_fibroblast_cd44,Sham,0.03686006825938566,0.04710867866632826,0.7740984406484294,-0.3857066422249693,0.0,293.0,6.0,0.0
immune_cells,activated_immune,D1,0.023976608187134502,0.021121948564893498,1.1807888917339788,0.13154505535444477,0.16666666666666666,342.0,6.0,0.16666666666666666
immune_cells,activated_immune,D3,0.00975609756097561,0.009484454429100599,1.1128978812515398,,0.0,246.0,6.0,0.0
immune_cells,activated_immune,D7,0.017575757575757578,0.0100066422099161,1.7563260051495346,0.6979199300216337,0.16666666666666666,165.0,6.0,0.0
immune_cells,activated_immune,Sham,0.026621160409556317,0.02361906596204004,1.1149223716790468,-0.03988942861935083,0.16666666666666666,293.0,6.0,0.16666666666666666
immune_cells,activated_m2_cd140b,D1,0.005847953216374269,0.005867304249816153,1.044743402309192,,0.0,342.0,6.0,0.0
immune_cells,activated_m2_cd140b,D3,0.016666666666666666,0.016584477989108552,1.0433921092457679,-0.00416077048333567,0.0,246.0,6.0,0.0
immune_cells,activated_m2_cd140b,D7,0.03333333333333333,0.02728588059427385,1.457274928916419,0.39398199986864707,0.0,165.0,6.0,0.0
immune_cells,activated_m2_cd140b,Sham,0.015126050420168067,0.009529945583984987,1.615219421101774,0.6621420350583697,0.2,238.0,5.0,0.0
immune_cells,activated_m2_cd44,D1,0.07865497076023392,0.07718546539723078,1.05469687712605,0.03711944292170751,0.16666666666666666,342.0,6.0,0.16666666666666666
immune_cells,activated_m2_cd44,D3,0.12886178861788616,0.10764083967805885,1.1841464002092241,0.23175868079352793,0.16666666666666666,246.0,6.0,0.0
immune_cells,activated_m2_cd44,D7,0.08727272727272728,0.09557987855656859,0.9209221937611093,-0.17952185349128919,0.0,165.0,6.0,0.0
immune_cells,activated_m2_cd44,Sham,0.06723549488054607,0.07765990343033057,0.892393102541169,-0.22539414722983692,0.3333333333333333,293.0,6.0,0.0
immune_cells,activated_myeloid_cd140b,D1,0.006432748538011695,0.0038973646901083446,1.5591617933723196,,0.0,342.0,6.0,0.0
immune_cells,activated_myeloid_cd140b,D3,0.0031249999999999997,0.005375015853202773,0.9199869791666666,-0.48893659004840045,0.0,192.0,5.0,0.0
immune_cells,activated_myeloid_cd140b,D7,0.008484848484848486,0.007423352056438568,1.8789142507324323,0.5179666393576823,0.0,165.0,6.0,0.0
immune_cells,activated_myeloid_cd140b,Sham,0.008532423208191127,0.005897979200807323,1.372844141069397,,0.3333333333333333,293.0,6.0,0.0
immune_cells,activated_myeloid_cd44,D1,0.046491228070175444,0.04810576917308924,1.0457153535916668,0.009587914134518026,0.16666666666666666,342.0,6.0,0.0
immune_cells,activated_myeloid_cd44,D3,0.02195121951219512,0.02005723557011663,1.0934057999893727,0.035540575190469305,0.16666666666666666,246.0,6.0,0.16666666666666666
immune_cells,activated_myeloid_cd44,D7,0.023030303030303033,0.022996757223743065,1.057429063008603,-0.444250833517805,0.16666666666666666,165.0,6.0,0.0
immune_cells,activated_myeloid_cd44,Sham,0.051194539249146756,0.055585453251105706,0.9130427460140635,-0.15581196921656096,0.0,293.0,6.0,0.0
immune_cells,endothelial,D1,0.13391812865497074,0.13192046192430976,1.0116450695666177,0.009593583929800338,0.0,342.0,6.0,0.0
immune_cells,endothelial,D3,0.1678861788617886,0.1908684002180553,0.8777321230570612,-0.23629039284528003,0.16666666666666666,246.0,6.0,0.16666666666666666
immune_cells,endothelial,D7,0.22545454545454546,0.19747751547050404,1.1924310116600234,0.20076394771542028,0.3333333333333333,165.0,6.0,0.3333333333333333
immune_cells,endothelial,Sham,0.12218430034129692,0.12137259867926664,0.9902408580613905,-0.033010305694762314,0.0,293.0,6.0,0.0
immune_cells,fibroblast,D1,0.06929824561403508,0.06474960345025181,1.0621138928576224,0.06960249335851565,0.0,342.0,6.0,0.0
immune_cells,fibroblast,D3,0.06422764227642276,0.05341842146810222,1.1931277822813426,0.23115411772435518,0.16666666666666666,246.0,6.0,0.0
immune_cells,fibroblast,D7,0.03515151515151515,0.05037341145830894,0.9214541290944454,-0.5008582096579088,0.5,165.0,6.0,0.3333333333333333
