mean_neighbor_lineage_immune,mean_self_lineage_immune,mean_neighbor_lineage_endothelial,mean_self_lineage_endothelial,mean_neighbor_lineage_stromal,mean_self_lineage_stromal,n_superpixels,roi_id,composite_label,timepoint,region
0.3317244031430071,0.6829577807636779,0.5217401645354316,0.2564831260865567,0.3578977715691407,0.35332841340494553,4,roi_IMC_241218_Alun_ROI_D3_M2_02_19,m2_macrophage,D3,Medulla
0.5930337027295179,0.7462250646907996,0.5700299339290449,0.653245472395573,0.5721563950027925,0.7137576202355629,1059,roi_IMC_241218_Alun_ROI_D3_M2_03_20,mixed,D3,Cortex
0.31718737789181517,0.04590485305183433,0.6141040930200455,0.6672339336414497,0.22784860958487116,0.023552104925164092,102,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_endothelial_cd140b_cd44,D3,Cortex
0.18942839964685879,0.029805445348151504,0.19091702494026527,0.05768965667345472,0.18205532503647495,0.02476324467971297,608,roi_IMC_241218_Alun_ROI_D3_M2_03_20,unassigned,D3,Cortex
0.23306634008983815,0.03526211875989482,0.46971209854385443,0.5750475133827468,0.22148336798790244,0.03332032930092452,117,roi_IMC_241218_Alun_ROI_D3_M2_03_20,endothelial,D3,Cortex
0.2014736509070986,0.06718382141391262,0.18214200528832325,0.12867095934811792,0.6530775749368409,0.9049907481882038,54,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_stromal_cd44,D3,Cortex
0.2755301708981661,0.0360488694927601,0.3041941709828772,0.23770124798393935,0.5946540555919332,0.8530463235189572,23,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_stromal_cd140b,D3,Cortex
0.6412688089983196,0.9363095090188694,0.2713209264463932,0.08966097344642891,0.29370817102682917,0.047465462958664745,31,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_non_myeloid_immune_cd140b,D3,Cortex
0.3196802939243615,0.05450408585065038,0.5186145327225434,0.6058063497385751,0.23336050054083246,0.018753139429851712,72,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_endothelial_cd140b,D3,Cortex
0.548271972703339,0.8354014531421774,0.34701206146886654,0.26294994304468505,0.21969676514521116,0.11929521057118572,30,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_m2_macrophage_cd140b_cd44,D3,Cortex
0.2314604409677956,0.038821419979799564,0.1937536048189568,0.09222697072429141,0.5621928615328116,0.7998492000389048,92,roi_IMC_241218_Alun_ROI_D3_M2_03_20,stromal,D3,Cortex
0.4150464193730485,0.784870724257106,0.20679700839085824,0.06207470160074209,0.22532537402424152,0.06027791453185919,13,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_non_myeloid_immune_cd44,D3,Cortex
0.4240840157512254,0.471607513056892,0.5646125974396162,0.9756220565582393,0.23071935697668944,0.044886694376920916,3,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_neutrophil_cd140b_cd44,D3,Cortex
0.3507393661063955,0.7046702128253733,0.10511763644035867,0.05444299600428177,0.2795816590069968,0.018080129668396595,6,roi_IMC_241218_Alun_ROI_D3_M2_03_20,myeloid,D3,Cortex
0.2460175973247542,0.055337637167750545,0.4774044375482883,0.5284337925175628,0.3062741853715606,0.04780561662602717,42,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_endothelial_cd44,D3,Cortex
0.5905631540885605,0.6728186039726125,0.5972357788590427,0.536747594820211,0.3675074704830538,0.0016087248241719674,4,roi_IMC_241218_Alun_ROI_D3_M2_03_20,neutrophil,D3,Cortex
0.7689021315864464,0.8203381739639873,0.12937988181359536,0.09210134053739777,0.20474007115828038,0.013063088966293846,3,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_myeloid_cd140b,D3,Cortex
0.4946337322457838,0.7446818147493456,0.20478243514049516,0.16233713517833295,0.2931332844866078,0.038019131214998295,11,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_non_myeloid_immune_cd140b_cd44,D3,Cortex
0.5948988355764057,0.7378782789529978,0.2779707446903981,0.2945495450203272,0.2906219732817183,0.15969928425954433,7,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_myeloid_cd140b_cd44,D3,Cortex
0.6512777806788855,0.8596403533830621,0.29143898465919,0.15765879836623184,0.2586908405842926,0.19261515149685146,11,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_m2_macrophage_cd140b,D3,Cortex
0.5001923123342049,0.7433893129022078,0.19738358881228094,0.0829399102359504,0.2687081148210752,0.19182600969860797,36,roi_IMC_241218_Alun_ROI_D3_M2_03_20,non_myeloid_immune,D3,Cortex
0.562138199435605,0.7901324276586428,0.31699528001233546,0.017300411851962377,0.34107313933672695,0.2022052024489785,5,roi_IMC_241218_Alun_ROI_D3_M2_03_20,m2_macrophage,D3,Cortex
0.4985292428411692,0.7622210023950381,0.24670054162457883,0.13109533678434232,0.3583455714790049,0.27699921581044584,8,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_m2_macrophage_cd44,D3,Cortex
0.4343873986627574,0.5731697889539217,0.21963041085782709,0.09862836986759428,0.23210573604218854,0.08496922721529798,3,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_myeloid_cd44,D3,Cortex
0.5631934760210239,0.6138736569520252,0.5251904964364142,0.48726138915476636,0.3379128646572328,0.1086617996352851,7,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_neutrophil_cd140b,D3,Cortex
0.2419372383478984,0.07653570107487415,0.30009195228737706,0.2094483351339924,0.6747030746790559,0.7659324159317333,17,roi_IMC_241218_Alun_ROI_D3_M2_03_20,activated_stromal_cd140b_cd44,D3,Cortex
0.6641863812424504,0.8038435347092154,0.4882486887650964,0.5623936104386777,0.6529304634082854,0.7950755221374625,1038,roi_IMC_241218_Alun_ROI_D7_M1_01_21,mixed,D7,Cortex
0.14620983415738392,0.020361654695012065,0.4563979190017467,0.5330474347288999,0.15262828491849384,0.023407682275390078,186,roi_IMC_241218_Alun_ROI_D7_M1_01_21,activated_endothelial_cd44,D7,Cortex
0.16451830034150117,0.020679209355638137,0.24433827947194564,0.04998335832343686,0.1555973494233606,0.020456948777206496,507,roi_IMC_241218_Alun_ROI_D7_M1_01_21,unassigned,D7,Cortex
