region,timepoint,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
Cortex,D3,immune,immune,0.1708558345679742,1.1257260891139436,0.11687188137966065,0.22483978775628777,"[0.22483978775628777, 0.11687188137966065]",577,3,2,2,0,False,False
Cortex,D3,immune,stromal,-0.36123466702378954,0.7784980512145554,-0.7180222084116065,-0.004447125635972646,"[-0.7180222084116065, -0.004447125635972646]",577,3,2,2,0,False,False
Cortex,D3,stromal,endothelial,0.1678145381061039,1.123355483718154,-0.08729464984673235,0.42292372605894013,"[0.42292372605894013, -0.08729464984673235]",75,3,2,2,0,False,False
Cortex,D3,stromal,immune,-0.23729929483617224,0.848331892441296,-0.43261998954935793,-0.041978600122986535,"[-0.43261998954935793, -0.041978600122986535]",75,3,2,2,0,False,False
Cortex,D3,stromal,stromal,0.5866666434815138,1.5017728795001934,0.37844078351712984,0.7948925034458978,"[0.7948925034458978, 0.37844078351712984]",75,3,2,2,0,False,False
Cortex,D7,endothelial,endothelial,0.8239601964681351,1.7702586875687942,0.7123799519313625,0.9355404410049077,"[0.7123799519313625, 0.9355404410049077]",382,3,2,2,0,False,False
Cortex,D7,endothelial,immune,-0.9143683940191933,0.5305761038905049,-1.125891368018509,-0.7028454200198777,"[-0.7028454200198777, -1.125891368018509]",382,3,2,2,0,False,False
Cortex,D7,endothelial,stromal,0.38749138112948517,1.308116816530406,0.2732117108852914,0.501771051373679,"[0.2732117108852914, 0.501771051373679]",382,3,2,2,0,False,False
Cortex,D7,immune,endothelial,-1.172059368670421,0.44378740586292015,-1.6664597493812119,-0.6776589879596302,"[-0.6776589879596302, -1.6664597493812119]",678,3,2,2,0,False,False
Cortex,D7,immune,immune,0.41187612743629853,1.3304148042092625,0.29842325430831895,0.5253290005642781,"[0.29842325430831895, 0.5253290005642781]",678,3,2,2,0,False,False
Cortex,D7,immune,stromal,-1.0291775232544897,0.4899894108900136,-1.792740278164655,-0.2656147683443246,"[-0.2656147683443246, -1.792740278164655]",678,3,2,2,0,False,False
Cortex,D7,stromal,endothelial,0.5144356113305163,1.4284352202576407,0.2904938907312053,0.7383773319298274,"[0.2904938907312053, 0.7383773319298274]",63,3,2,2,0,False,False
Cortex,D7,stromal,immune,-0.5806992226870115,0.6686396331331647,-0.8936691870154356,-0.2677292583585873,"[-0.2677292583585873, -0.8936691870154356]",63,3,2,2,0,False,False
Cortex,D7,stromal,stromal,0.7930221794173824,1.7327003504386065,0.5154992575759543,1.0705451012588105,"[0.5154992575759543, 1.0705451012588105]",63,3,2,2,0,False,False
Cortex,Sham,endothelial,endothelial,0.5942943356308145,1.509733949871726,0.4454472382769208,0.7431414329847081,"[0.4454472382769208, 0.7431414329847081]",159,3,2,2,0,False,False
Cortex,Sham,endothelial,immune,-0.19632388008072843,0.8727716349049478,-0.226621134791635,-0.16602662536982185,"[-0.16602662536982185, -0.226621134791635]",159,3,2,2,0,False,False
Cortex,Sham,endothelial,stromal,-0.09812326588846715,0.9342475200540612,-0.23390581653020456,0.03765928475327028,"[0.03765928475327028, -0.23390581653020456]",159,3,2,2,0,False,False
Cortex,Sham,immune,endothelial,-0.27041391975075907,0.8290816421056888,-0.41926621273403064,-0.1215616267674875,"[-0.1215616267674875, -0.41926621273403064]",598,3,2,2,0,False,False
Cortex,Sham,immune,immune,0.07495235524080923,1.0533262494595788,0.0466438415750082,0.10326086890661026,"[0.0466438415750082, 0.10326086890661026]",598,3,2,2,0,False,False
Cortex,Sham,immune,stromal,-0.07876318549866412,0.9468690444818463,-0.08911761104169998,-0.06840875995562828,"[-0.06840875995562828, -0.08911761104169998]",598,3,2,2,0,False,False
Cortex,Sham,stromal,endothelial,-0.20484449740858596,0.8676322008752477,-0.40723741941576624,-0.0024515754014056423,"[-0.0024515754014056423, -0.40723741941576624]",133,3,2,2,0,False,False
Cortex,Sham,stromal,immune,-0.04754435903904466,0.9675818691135026,-0.11422399768841247,0.019135279610323158,"[-0.11422399768841247, 0.019135279610323158]",133,3,2,2,0,False,False
Cortex,Sham,stromal,stromal,0.36041916351645975,1.2837988408776169,0.356620394766729,0.36421793226619054,"[0.356620394766729, 0.36421793226619054]",133,3,2,2,0,False,False
Medulla,D1,endothelial,endothelial,0.3589763052251748,1.2825155385972027,0.09371915570610141,0.6242334547442482,"[0.09371915570610141, 0.6242334547442482]",176,3,2,2,0,False,False
Medulla,D1,endothelial,immune,-0.1427380861624087,0.9057984111177108,-0.22659263562420667,-0.05888353670061073,"[-0.05888353670061073, -0.22659263562420667]",176,3,2,2,0,False,False
