compartment,timepoint,mouse,region,cd44_rate,n_support,scale_um
CD206,D7,MS2,medulla,0.3993055555555556,34,40.0
CD206,Sham,MS1,medulla,0.84,25,40.0
CD206,Sham,MS2,medulla,0.045454545454545456,19,40.0
CD31,D1,MS1,medulla,0.5625,16,40.0
CD31,D1,MS2,medulla,0.7081575246132208,88,40.0
CD31,D3,MS1,medulla,0.2822124450031427,80,40.0
CD31,D3,MS2,medulla,0.5540540540540541,74,40.0
CD31,D7,MS1,medulla,0.1794871794871795,78,40.0
CD31,D7,MS2,medulla,0.4520460358056266,114,40.0
CD31,Sham,MS1,medulla,0.8,30,40.0
CD31,Sham,MS2,medulla,0.2148148148148148,42,40.0
CD34,D1,MS1,medulla,0.4,25,40.0
CD34,D1,MS2,medulla,0.6045568039950062,107,40.0
CD34,D3,MS1,medulla,0.2947674418604651,63,40.0
CD34,D3,MS2,medulla,0.6808510638297872,47,40.0
CD34,D7,MS1,medulla,0.25,60,40.0
CD34,D7,MS2,medulla,0.4340909090909091,75,40.0
CD34,Sham,MS1,medulla,0.7894736842105263,38,40.0
CD34,Sham,MS2,medulla,0.3333333333333333,39,40.0
CD140b,D1,MS1,medulla,0.7333333333333333,15,40.0
CD140b,D1,MS2,medulla,0.6566091954022989,99,40.0
CD140b,D3,MS1,medulla,0.3869047619047619,57,40.0
CD140b,D3,MS2,medulla,0.5588235294117647,68,40.0
CD140b,D7,MS1,medulla,0.40625,32,40.0
CD140b,D7,MS2,medulla,0.7171717171717171,62,40.0
CD140b,Sham,MS1,medulla,0.8095238095238095,42,40.0
CD140b,Sham,MS2,medulla,0.3392857142857143,19,40.0
endothelial_cd31cd34,D1,MS1,medulla,0.6666666666666666,12,40.0
endothelial_cd31cd34,D1,MS2,medulla,0.7628205128205128,84,40.0
endothelial_cd31cd34,D3,MS1,medulla,0.3157894736842105,57,40.0
endothelial_cd31cd34,D3,MS2,medulla,0.6956521739130435,46,40.0
endothelial_cd31cd34,D7,MS1,medulla,0.23214285714285715,56,40.0
endothelial_cd31cd34,D7,MS2,medulla,0.4782608695652174,62,40.0
endothelial_cd31cd34,Sham,MS1,medulla,0.8214285714285714,28,40.0
endothelial_cd31cd34,Sham,MS2,medulla,0.3666666666666667,16,40.0
CD45,D1,MS1,pooled,0.7454545454545455,82,40.0
CD45,D1,MS2,pooled,0.8436507936507937,128,40.0
CD45,D3,MS1,pooled,0.4611111111111111,116,40.0
CD45,D3,MS2,pooled,0.7664109121909634,151,40.0
CD45,D7,MS1,pooled,0.7074038786302296,164,40.0
CD45,D7,MS2,pooled,0.7298289528577389,166,40.0
CD45,Sham,MS1,pooled,0.7342592592592593,127,40.0
CD45,Sham,MS2,pooled,0.5771604938271605,52,40.0
CD206,D1,MS1,pooled,0.5715080971659919,151,40.0
CD206,D1,MS2,pooled,0.6689982665592421,192,40.0
CD206,D3,MS1,pooled,0.36469757394483215,182,40.0
CD206,D3,MS2,pooled,0.6425819265143992,185,40.0
CD206,D7,MS1,pooled,0.5607726576735743,250,40.0
CD206,D7,MS2,pooled,0.5617363497518136,131,40.0
CD206,Sham,MS1,pooled,0.6584425451092117,118,40.0
CD206,Sham,MS2,pooled,0.24598930481283424,53,40.0
CD31,D1,MS1,pooled,0.6747122762148338,96,40.0
CD31,D1,MS2,pooled,0.7552100392398641,161,40.0
CD31,D3,MS1,pooled,0.3881416300020952,130,40.0
CD31,D3,MS2,pooled,0.640997815997816,180,40.0
CD31,D7,MS1,pooled,0.4784262284262284,208,40.0
CD31,D7,MS2,pooled,0.5860862460926399,162,40.0
CD31,Sham,MS1,pooled,0.7308641975308642,92,40.0
CD31,Sham,MS2,pooled,0.32839506172839505,87,40.0
CD34,D1,MS1,pooled,0.5602150537634408,117,40.0
CD34,D1,MS2,pooled,0.6887521550442899,170,40.0
CD34,D3,MS1,pooled,0.4229267222465994,116,40.0
CD34,D3,MS2,pooled,0.7113333551219618,141,40.0
