focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois
immune+stromal,immune,D3,0.06772331676448459,0.04624495340932319,1.4869345492222787,0.552487378952896,1.0,1036,6
immune+stromal,immune,D7,0.05655562920736085,0.048057181144598275,1.3287169554631404,0.3507728851838548,1.0,1747,6
immune+stromal,immune,Sham,0.09884333339205531,0.0798790153462741,1.2339710081975355,0.2985410646105205,0.6666666666666666,1269,6
immune+stromal,immune+stromal,D1,0.15301307719087312,0.06296953300937401,2.583488110102886,1.2965087879937425,1.0,915,6
immune+stromal,immune+stromal,D3,0.17283288582072034,0.07164195969218663,2.6768839016478423,1.3590853528814677,1.0,1036,6
immune+stromal,immune+stromal,D7,0.2943151847863434,0.11841313149333932,2.5781861931437557,1.3540465773824966,1.0,1747,6
immune+stromal,immune+stromal,Sham,0.1534987917754599,0.08687890555309101,1.7218471408000655,0.7711383295839607,1.0,1269,6
immune+stromal,none,D1,0.2048576594981684,0.19982994353696557,1.0400440914914888,0.04363073605469651,0.5,915,6
immune+stromal,none,D3,0.18947010028850694,0.17607565468236097,1.0820013956857437,0.10263763756166382,0.5,1036,6
immune+stromal,none,D7,0.1223525646682277,0.14442729300980117,0.858845529287529,-0.25521074348075745,0.3333333333333333,1747,6
immune+stromal,none,Sham,0.2363542223381049,0.24854028979087772,0.9538799432125771,-0.07042072096558058,0.3333333333333333,1269,6
immune+stromal,stromal,D1,0.08731888966013594,0.05641653456230667,1.6155691637846836,0.6504350992739453,0.8333333333333334,915,6
immune+stromal,stromal,D3,0.0737120292293061,0.04625220956565659,1.7691756801429381,0.7793864255736936,1.0,1036,6
immune+stromal,stromal,D7,0.04418414504574383,0.026533722494840938,1.6795729551482905,0.690206191867305,0.8333333333333334,1747,6
immune+stromal,stromal,Sham,0.08690408637688186,0.06364466643377106,1.3922601299790418,0.4641294055668666,1.0,1269,6
none,endothelial,D1,0.13880670880188015,0.14668674676706095,0.9482038683593036,-0.08168374441893787,0.16666666666666666,2891,6
none,endothelial,D3,0.1385401015344304,0.14195323083352904,0.9807253474554831,-0.031589693879453366,0.5,2540,6
none,endothelial,D7,0.12808172000666324,0.11308985545627974,1.1744574749437489,0.20427666298747435,0.6666666666666666,2122,6
none,endothelial,Sham,0.1318407252902081,0.13929879749000063,0.9480739206632656,-0.07772595927120143,0.5,3620,6
none,endothelial+immune,D1,0.07956835983383632,0.08663199765639128,0.9221161622731099,-0.12350615369751637,0.6666666666666666,2891,6
none,endothelial+immune,D3,0.08258813701183625,0.09221247240339832,0.9129359096338668,-0.13680564672765996,0.3333333333333333,2540,6
none,endothelial+immune,D7,0.09256250479778906,0.1056870756144359,0.924193457660968,-0.12916101606712696,0.5,2122,6
none,endothelial+immune,Sham,0.07699756827323258,0.08064928987932247,0.9503366626363136,-0.07471465719797601,0.3333333333333333,3620,6
none,endothelial+immune+stromal,D1,0.17725794397121666,0.2535376154068462,0.7015510637541217,-0.5251807016766042,1.0,2891,6
none,endothelial+immune+stromal,D3,0.22511288357172998,0.3180372887229554,0.7181809476427782,-0.4841806238901641,1.0,2540,6
none,endothelial+immune+stromal,D7,0.2203356675166861,0.384801376034297,0.5733902946110079,-0.8250677565367153,1.0,2122,6
none,endothelial+immune+stromal,Sham,0.13564276617313473,0.20297974927341259,0.6875693330169518,-0.5641634633680742,1.0,3620,6
none,endothelial+stromal,D1,0.10165899315292426,0.13344046506926924,0.7570369585651356,-0.4082265041589834,1.0,2891,6
none,endothelial+stromal,D3,0.08750773651128822,0.1075822306905899,0.8051494646610364,-0.32114331514575534,0.8333333333333334,2540,6
none,endothelial+stromal,D7,0.03684378763421545,0.0589903647524077,0.6348450762369439,-0.6679052276922888,1.0,2122,6
none,endothelial+stromal,Sham,0.07918620273199439,0.09812928623325044,0.8071285020805927,-0.31089456367362156,1.0,3620,6
none,immune,D1,0.08022412898098859,0.060487163991786046,1.3364300219012832,0.4142887153625523,1.0,2891,6
none,immune,D3,0.06138571755805198,0.04624495340932319,1.366024555844256,0.430351037351703,0.8333333333333334,2540,6
none,immune,D7,0.07395554130266328,0.048057181144598275,1.5894370758652585,0.6396066989429477,1.0,2122,6
none,immune,Sham,0.09759059985790808,0.0798790153462741,1.230379057628164,0.2923800723458248,1.0,3620,6
none,immune+stromal,D1,0.06465433825550551,0.06296953300937401,1.0442745981641932,0.04786053817265943,0.5,2891,6
none,immune+stromal,D3,0.0753804994500314,0.07164195969218663,1.0868170993422543,0.1075477095256191,0.5,2540,6
none,immune+stromal,D7,0.09343070041287162,0.11841313149333932,0.8431297191815016,-0.2797204598196226,0.5,2122,6
